-284,-288,8046,-21,86,3

-260,-296,7958,-20,65,-75

-286,-290,8026,-1,53,-13

-254,-294,7984,-25,38,-38

-280,-274,8036,-67,55,-32

-270,-278,8006,-54,123,-1

-270,-258,7990,-30,75,-5

-298,-288,7972,-26,115,3

-282,-276,8046,-43,66,-6

-262,-262,8044,-50,50,-37

-280,-260,8008,-16,62,-38

-282,-252,7968,-40,116,-12

-262,-262,8022,-47,81,1

-266,-278,7980,-60,103,-30

-254,-246,7990,-45,99,-5

-310,-280,8010,-42,67,-20

-292,-266,8018,-31,83,-29

-298,-302,7996,-54,100,-21

-258,-254,8002,-56,71,-27

-286,-262,7992,-56,77,-8

-306,-290,8006,-22,38,-6

-270,-306,8016,-41,80,-5

-262,-266,8022,-10,70,4

-270,-268,7952,-27,75,-1

-278,-290,7994,-42,56,-28

-282,-296,7944,-70,39,-10

-272,-254,8012,-61,74,-53

